City,Temp,Max_temp,Cloudiness,Humidity,Wind Speed,Lat,Long
Koulamoutou,72.79,72.79,11,85,2.19,-1.13,12.47
Lodja,72.3,72.3,40,78,1.95,-3.48,23.43
Islamkot,86.77,86.77,71,72,14.36,24.7,70.18
Leicester,55.9,57.0,73,63,9.71,52.64,-1.13
Rawson,44.35,44.35,95,75,10.18,-43.3,-65.1
Mahudha,84.2,84.2,40,79,6.93,22.82,72.93
Samarai,77.58,77.58,92,80,17.65,-10.62,150.67
North Platte,88.56,89.6,1,24,10.29,41.12,-100.77
Porto de Moz,74.43,74.43,56,94,2.28,-1.75,-52.24
Upington,53.6,53.6,0,45,8.05,-28.45,21.26
Praia da Vitória,64.4,64.4,20,82,4.54,38.73,-27.07
Béboto,73.22,73.22,71,85,3.11,8.27,16.94
Cockburn Town,86.0,86.0,40,70,16.11,21.46,-71.14
Gürgentepe,71.6,71.6,0,78,2.24,40.79,37.6
Kupang,73.4,73.4,20,78,6.93,-10.17,123.58
Khromtau,54.27,54.27,19,63,3.74,50.25,58.43
Fare,79.95,79.95,17,79,24.36,-16.7,-151.02
Olafsvik,50.52,50.52,0,82,8.32,64.89,-23.71
Kosh-Agach,54.77,54.77,71,60,1.25,50.0,88.67
Belmonte,73.4,73.4,20,83,8.05,-15.86,-38.88
Pisco,62.35,62.6,0,77,16.11,-13.7,-76.22
Vallenar,66.51,66.51,42,27,2.66,-28.57,-70.76
Coos Bay,63.91,69.01,1,72,17.22,43.37,-124.22
Vardø,47.75,47.75,99,91,22.79,70.37,31.11
Goya,48.72,48.72,93,75,3.8,-29.14,-59.26
Novy Urengoy,55.24,55.24,0,72,5.08,66.08,76.63
Clyde River,42.8,42.8,90,81,5.82,70.47,-68.59
Nāgod,85.53,85.53,69,62,7.83,24.57,80.6
Teya,68.41,68.41,19,51,3.67,60.38,92.63
Brae,44.6,44.6,68,81,8.05,60.4,-1.35
Kuril'sk,55.8,55.8,100,88,1.72,45.23,147.88
Monrovia,77.65,77.65,98,83,10.09,6.3,-10.8
Margate,60.76,62.01,20,80,3.0,51.38,1.39
Gambo,70.74,70.74,98,95,1.19,4.65,22.26
Liverpool,56.59,57.2,99,87,11.41,53.41,-2.98
Glasgow,51.93,53.01,90,81,14.99,55.87,-4.26
Bāglung,71.98,71.98,88,79,0.56,28.27,83.59
Khani,68.0,68.0,40,94,6.93,41.96,42.96
Great Bend,91.4,91.99,75,52,11.41,38.36,-98.76
Kano,86.0,86.0,55,66,3.36,12.0,8.52
Sherlovaya Gora,66.74,66.74,87,57,2.04,50.57,116.25
Knysna,46.4,46.4,0,100,2.24,-34.04,23.05
Guerrero Negro,73.22,73.22,73,51,18.03,27.98,-114.06
Dauriya,71.89,71.89,90,50,4.47,49.93,116.87
Winnemucca,84.2,84.2,1,11,12.75,40.97,-117.74
Bodaybo,76.71,76.71,19,52,0.78,57.85,114.19
Moundou,74.46,74.46,42,81,1.41,8.57,16.08
San Patricio,85.51,85.51,44,66,5.75,19.22,-104.7
Iralaya,82.4,82.4,90,78,8.01,15.0,-83.23
Caramay,84.09,84.09,95,66,0.4,10.18,119.24
Corrente,73.18,73.18,3,95,2.8,-3.74,-43.34
Somain,58.98,60.01,49,82,4.7,50.36,3.28
Nyagan,53.98,53.98,89,64,0.92,62.14,65.39
Dicabisagan,83.98,83.98,99,74,4.83,17.08,122.42
Tākestān,62.6,62.6,47,55,2.24,36.07,49.7
Pochutla,89.29,89.6,75,55,4.29,15.74,-96.47
Pangnirtung,50.0,50.0,20,71,9.17,66.15,-65.71
Paka,73.2,73.4,40,100,1.12,4.64,103.44
Soyo,71.98,71.98,6,88,4.85,-6.13,12.37
Westport,72.82,73.0,90,83,4.7,41.14,-73.36
Severnoye,59.74,59.74,100,95,9.08,56.35,78.36
Orašac,66.76,66.76,15,68,3.98,44.63,16.07
Kargopol',53.51,53.51,99,97,7.25,61.51,38.95
Hasanpur,92.19,92.19,21,44,5.06,28.72,78.28
Sukumo,78.35,78.35,44,55,3.56,32.93,132.73
Havre-St-Pierre,66.2,66.2,75,72,11.41,50.23,-63.6
Vianópolis,62.1,62.1,100,85,6.78,-16.74,-48.52
Denpasar,78.8,78.8,20,100,9.17,-8.65,115.22
Kiryat Gat,71.69,73.0,0,78,1.16,31.61,34.76
Darapidap,83.26,83.26,100,72,3.29,17.21,120.41
Borovoy,68.0,68.0,40,94,8.95,55.43,86.08
Kununurra,64.4,64.4,90,32,1.12,-15.77,128.73
Narsaq,50.0,50.0,72,61,4.7,60.92,-46.05
Bonthe,77.04,77.04,100,89,6.24,7.53,-12.51
Bousso,79.65,79.65,21,57,1.88,10.48,16.71
Pueblo Nuevo,67.62,67.62,99,88,3.13,23.38,-105.38
Yar-Sale,53.92,53.92,0,62,6.15,66.83,70.83
Shaowu,80.04,80.04,100,82,2.33,27.34,117.48
Kemijärvi,44.96,44.96,89,96,4.72,66.71,27.43
Havelock,81.9,82.99,84,78,3.0,34.88,-76.9
Pangkalanbuun,76.17,76.17,87,94,2.8,-2.68,111.62
Ilhabela,64.6,64.6,10,65,8.55,-23.78,-45.36
Port Moresby,80.6,80.6,40,78,12.75,-9.44,147.18
Bubaque,79.65,79.65,100,83,1.9,11.28,-15.83
Sioux Lookout,87.8,87.8,75,43,11.41,50.1,-91.92
Morant Bay,84.63,86.0,20,70,18.34,17.88,-76.41
Taltal,57.85,57.85,25,71,3.49,-25.4,-70.48
Bayan,75.36,75.36,0,67,2.84,46.08,127.4
Waingapu,77.09,77.09,8,72,9.08,-9.66,120.26
Wadi Maliz,84.2,84.2,40,39,4.7,36.47,8.55
Husavik,50.0,50.0,98,57,9.17,66.04,-17.34
Ewo,76.08,76.08,30,72,1.77,-0.87,14.82
Blagoveshchenka,61.72,61.72,89,85,9.37,52.83,79.87
Tahlequah,92.03,93.0,75,59,8.05,35.92,-94.97
Bargteheide,59.02,60.01,71,94,1.99,53.73,10.27
Fairbanks,60.75,64.0,1,36,6.06,64.84,-147.72
Homer,59.65,64.0,1,67,11.41,59.64,-151.55
Nibe,53.67,55.0,16,92,1.01,56.98,9.64
Otradnoye,56.07,57.2,0,87,8.95,59.78,30.82
Wukari,75.02,75.02,98,84,3.27,7.85,9.78
Nieuw Amsterdam,78.39,78.8,40,88,4.7,5.88,-55.08
Ust-Tsilma,56.66,56.66,99,67,7.45,65.44,52.15
Bingöl,61.12,61.12,20,65,8.14,38.88,40.49
Kalamazoo,86.5,87.8,1,40,4.7,42.25,-85.55
Malpe,77.0,77.0,75,94,4.7,13.35,74.72
Iskateley,57.69,57.69,100,71,11.72,67.68,53.15
Gamba,72.5,72.5,99,86,5.46,-2.65,10.0
Arrondissement de Bressuire,62.01,62.01,37,85,8.86,46.92,-0.5
Washougal,62.51,64.4,90,68,5.82,45.58,-122.35
Brigantine,71.31,72.0,1,88,3.36,39.41,-74.36
Vryburg,45.66,45.66,0,64,6.17,-26.96,24.73
Gornyy,66.63,66.63,94,96,2.62,55.12,83.91
Saurimo,61.02,61.02,0,43,4.7,-9.66,20.39
La Ronge,62.6,62.6,90,93,10.29,55.1,-105.28
Krasnoarmiys'k,64.83,64.83,20,85,7.76,48.28,37.18
Mehrān,69.8,69.8,0,32,5.03,33.12,46.16
Gold Coast,61.88,66.0,61,87,3.36,-28.0,153.43
Zlobin,69.01,69.01,0,82,4.0,45.29,14.65
Shahr-e Bābak,69.06,69.06,0,26,6.26,30.12,55.12
Natal,75.2,75.2,0,88,3.36,-5.79,-35.21
Boguchany,71.28,71.28,1,55,6.04,58.38,97.45
Pechora,53.2,53.2,96,68,9.51,65.15,57.22
Cuiluan,76.89,76.89,7,62,2.73,47.72,128.65
Bemidji,83.12,84.0,40,51,6.93,47.47,-94.88
Salmās,60.8,60.8,40,59,4.7,38.2,44.77
Jinan,82.99,82.99,33,53,3.96,36.67,117.0
Cap Malheureux,66.99,66.99,2,81,3.0,-19.98,57.61
Olavarría,43.21,43.21,100,86,5.7,-36.89,-60.32
Hvide Sande,57.0,57.0,14,80,15.01,56.0,8.13
Cabedelo,71.6,71.6,6,94,4.7,-6.98,-34.83
El Salvador,81.34,86.0,40,66,1.12,13.83,-88.92
Walvis Bay,67.89,67.89,0,25,5.14,-22.96,14.51
Aurillac,63.18,64.0,90,93,5.82,44.92,2.45
Superior,73.72,84.2,1,83,4.7,46.72,-92.1
Martapura,77.0,77.0,33,94,2.24,-3.42,114.85
